match_year,team_A,team_B,score_A,score_B
2023-2024,Real Madrid,Alaves,1,0
2023-2024,Real Madrid,Villarreal,4,1
2023-2024,Real Madrid,1. FC Union Berlin,3,2
2023-2024,Real Madrid,Real Betis,1,1
2023-2024,Real Madrid,Granada,2,0
2023-2024,Real Madrid,Napoli,4,2
2023-2024,Real Madrid,Cadiz,3,0
2023-2024,Real Madrid,Valencia,5,1
2023-2024,Real Madrid,Braga,3,0
2023-2024,Real Madrid,Rayo Vallecano,0,0
2023-2024,Real Madrid,Barcelona,2,1
2023-2024,Real Madrid,Braga,2,1
2023-2024,Real Madrid,Sevilla,1,1
2023-2024,Real Madrid,Osasuna,4,0
2023-2024,Real Madrid,Napoli,3,2
2023-2024,Real Madrid,Girona,3,0
2023-2024,Real Madrid,Las Palmas,2,0
2023-2024,Real Madrid,Atletico Madrid,1,3
2023-2024,Real Madrid,1. FC Union Berlin,1,0
2023-2024,Real Madrid,Real Sociedad,2,1
2023-2024,Real Madrid,Getafe,2,1
2023-2024,Real Madrid,Celta Vigo,1,0
2023-2024,Real Madrid,Almeria,3,1
2023-2024,Real Madrid,Athletic Bilbao,2,0
2023-2024,Real Madrid,Juventus,1,3
2023-2024,Real Madrid,Barcelona,0,3
2023-2024,Real Madrid,Manchester United,2,0
2023-2024,Real Madrid,AC Milan,3,2
2022-2023,Real Madrid,Athletic Bilbao,1,1
2022-2023,Real Madrid,Sevilla,2,1
2022-2023,Real Madrid,Rayo Vallecano,2,1
2022-2023,Real Madrid,Valencia,0,1
2022-2023,Real Madrid,Manchester City,0,4
2022-2023,Real Madrid,Getafe,1,0
2022-2023,Real Madrid,Manchester City,1,1
2022-2023,Real Madrid,Osasuna,2,1
2022-2023,Real Madrid,Real Sociedad,0,2
2022-2023,Real Madrid,Almeria,4,2
2022-2023,Real Madrid,Girona,2,4
2022-2023,Real Madrid,Celta Vigo,2,0
2022-2023,Real Madrid,Chelsea,2,0
2022-2023,Real Madrid,Cadiz,2,0
2022-2023,Real Madrid,Chelsea,2,0
2022-2023,Real Madrid,Villarreal,2,3
2022-2023,Real Madrid,Barcelona,4,0
2022-2023,Real Madrid,Real Valladolid,6,0
2022-2023,Real Madrid,Barcelona,1,2
2022-2023,Real Madrid,Liverpool,1,0
2022-2023,Real Madrid,Espanyol,3,1
2022-2023,Real Madrid,Real Betis,0,0
2022-2023,Real Madrid,Barcelona,0,1
2022-2023,Real Madrid,Atletico Madrid,1,1
2022-2023,Real Madrid,Liverpool,5,2
2022-2023,Real Madrid,Osasuna,2,0
2022-2023,Real Madrid,Elche,4,0
2022-2023,Real Madrid,Al-Hilal,5,3
2022-2023,Real Madrid,Al Ahly,4,1
2022-2023,Real Madrid,Real Mallorca,0,1
2022-2023,Real Madrid,Valencia,2,0
2022-2023,Real Madrid,Real Sociedad,0,0
2022-2023,Real Madrid,Atletico Madrid,3,1
2022-2023,Real Madrid,Athletic Bilbao,2,0
2022-2023,Real Madrid,Villarreal,3,2
2022-2023,Real Madrid,Barcelona,1,3
2022-2023,Real Madrid,Valencia,1,1
2022-2023,Real Madrid,Villarreal,1,2
2022-2023,Real Madrid,Cacereño,1,0
2022-2023,Real Madrid,Real Valladolid,2,0
2022-2023,Real Madrid,Cadiz,2,1
2022-2023,Real Madrid,Rayo Vallecano,2,3
2022-2023,Real Madrid,Celtic,5,1
2022-2023,Real Madrid,Girona,1,1
2022-2023,Real Madrid,RB Leipzig,2,3
2022-2023,Real Madrid,Sevilla,3,1
2022-2023,Real Madrid,Elche,3,0
2022-2023,Real Madrid,Barcelona,3,1
2022-2023,Real Madrid,Shakhtar Donetsk,1,1
2022-2023,Real Madrid,Getafe,1,0
2022-2023,Real Madrid,Shakhtar Donetsk,2,1
2022-2023,Real Madrid,Osasuna,1,1
2022-2023,Real Madrid,Atletico Madrid,2,1
2022-2023,Real Madrid,RB Leipzig,2,0
2022-2023,Real Madrid,Real Mallorca,4,1
2022-2023,Real Madrid,Celtic,3,0
2022-2023,Real Madrid,Real Betis,2,1
2022-2023,Real Madrid,Espanyol,3,1
2022-2023,Real Madrid,Celta Vigo,4,1
2022-2023,Real Madrid,Almeria,2,1
2022-2023,Real Madrid,Eintracht Frankfurt,2,0
2022-2023,Real Madrid,Juventus,2,0
2022-2023,Real Madrid,Club America,2,2
2022-2023,Real Madrid,Barcelona,0,1
2021-2022,Real Madrid,Liverpool,1,0
2021-2022,Real Madrid,Real Betis,0,0
2021-2022,Real Madrid,Cadiz,1,1
2021-2022,Real Madrid,Levante,6,0
2021-2022,Real Madrid,Atletico Madrid,0,1
2021-2022,Real Madrid,Manchester City,3,1
2021-2022,Real Madrid,Espanyol,4,0
2021-2022,Real Madrid,Manchester City,3,4
2021-2022,Real Madrid,Osasuna,3,1
2021-2022,Real Madrid,Sevilla,3,2
2021-2022,Real Madrid,Chelsea,2,3
2021-2022,Real Madrid,Getafe,2,0
2021-2022,Real Madrid,Chelsea,3,1
2021-2022,Real Madrid,Celta Vigo,2,1
2021-2022,Real Madrid,Barcelona,0,4
2021-2022,Real Madrid,Real Mallorca,3,0
2021-2022,Real Madrid,Paris Saint-Germain,3,1
2021-2022,Real Madrid,Real Sociedad,4,1
2021-2022,Real Madrid,Rayo Vallecano,1,0
2021-2022,Real Madrid,Alaves,3,0
2021-2022,Real Madrid,Paris Saint-Germain,0,1
2021-2022,Real Madrid,Villarreal,0,0
2021-2022,Real Madrid,Granada,1,0
2021-2022,Real Madrid,Athletic Bilbao,0,1
2021-2022,Real Madrid,Elche,2,2
2021-2022,Real Madrid,Elche,2,1
2021-2022,Real Madrid,Barcelona,3,2
2021-2022,Real Madrid,Valencia,4,1
2021-2022,Real Madrid,Alcoyano,3,1
2021-2022,Real Madrid,Getafe,0,1
2021-2022,Real Madrid,Athletic Bilbao,2,1
2021-2022,Real Madrid,Cadiz,0,0
2021-2022,Real Madrid,Atletico Madrid,2,0
2021-2022,Real Madrid,Inter Milan,2,0
2021-2022,Real Madrid,Real Sociedad,2,0
2021-2022,Real Madrid,Athletic Bilbao,1,0
2021-2022,Real Madrid,Sevilla,2,1
2021-2022,Real Madrid,Sheriff Tiraspol (Mol),3,0
2021-2022,Real Madrid,Granada,4,1
2021-2022,Real Madrid,Rayo Vallecano,2,1
2021-2022,Real Madrid,Shakhtar Donetsk,2,1
2021-2022,Real Madrid,Elche,2,1
2021-2022,Real Madrid,Osasuna,0,0
2021-2022,Real Madrid,Barcelona,2,1
2021-2022,Real Madrid,Shakhtar Donetsk,5,0
2021-2022,Real Madrid,Espanyol,1,2
2021-2022,Real Madrid,Sheriff Tiraspol (Mol),1,2
2021-2022,Real Madrid,Villarreal,0,0
2021-2022,Real Madrid,Real Mallorca,6,1
2021-2022,Real Madrid,Valencia,2,1
2021-2022,Real Madrid,Inter Milan,1,0
2021-2022,Real Madrid,Celta Vigo,5,2
2021-2022,Real Madrid,Levante,3,3
2021-2022,Real Madrid,Alaves,4,1
2021-2022,Real Madrid,AC Milan,0,0
2021-2022,Real Madrid,Rangers,1,2
2020-2021,Real Madrid,Villarreal,2,1
2020-2021,Real Madrid,Athletic Bilbao,1,0
2020-2021,Real Madrid,Granada,4,1
2020-2021,Real Madrid,Sevilla,2,2
2020-2021,Real Madrid,Chelsea,0,2
2020-2021,Real Madrid,Osasuna,2,0
2020-2021,Real Madrid,Chelsea,1,1
2020-2021,Real Madrid,Real Betis,0,0
2020-2021,Real Madrid,Cadiz,3,0
2020-2021,Real Madrid,Getafe,0,0
2020-2021,Real Madrid,Liverpool,0,0
2020-2021,Real Madrid,Barcelona,2,1
2020-2021,Real Madrid,Liverpool,3,1
2020-2021,Real Madrid,Eibar,2,0
2020-2021,Real Madrid,Celta Vigo,3,1
2020-2021,Real Madrid,Atalanta,3,1
2020-2021,Real Madrid,Elche,2,1
2020-2021,Real Madrid,Atletico Madrid,1,1
2020-2021,Real Madrid,Real Sociedad,1,1
2020-2021,Real Madrid,Atalanta,1,0
2020-2021,Real Madrid,Real Valladolid,1,0
2020-2021,Real Madrid,Valencia,2,0
2020-2021,Real Madrid,Getafe,2,0
2020-2021,Real Madrid,SD Huesca,2,1
2020-2021,Real Madrid,Levante,1,2
2020-2021,Real Madrid,Alaves,4,1
2020-2021,Real Madrid,Alcoyano,1,2
2020-2021,Real Madrid,Athletic Bilbao,1,2
2020-2021,Real Madrid,Osasuna,0,0
2020-2021,Real Madrid,Celta Vigo,2,0
2020-2021,Real Madrid,Elche,1,1
2020-2021,Real Madrid,Granada,2,0
2020-2021,Real Madrid,Eibar,3,1
2020-2021,Real Madrid,Athletic Bilbao,3,1
2020-2021,Real Madrid,Atletico Madrid,2,0
2020-2021,Real Madrid,M'gladbach,2,0
2020-2021,Real Madrid,Sevilla,1,0
2020-2021,Real Madrid,Shakhtar Donetsk,0,2
2020-2021,Real Madrid,Alaves,1,2
2020-2021,Real Madrid,Inter Milan,2,0
2020-2021,Real Madrid,Villarreal,1,1
2020-2021,Real Madrid,Valencia,1,4
2020-2021,Real Madrid,Inter Milan,3,2
2020-2021,Real Madrid,SD Huesca,4,1
2020-2021,Real Madrid,M'gladbach,2,2
2020-2021,Real Madrid,Barcelona,3,1
2020-2021,Real Madrid,Shakhtar Donetsk,2,3
2020-2021,Real Madrid,Cadiz,0,1
2020-2021,Real Madrid,Levante,2,0
2020-2021,Real Madrid,Real Valladolid,1,0
2020-2021,Real Madrid,Real Betis,3,2
2020-2021,Real Madrid,Real Sociedad,0,0
2019-2020,Real Madrid,Manchester City,1,2
2019-2020,Real Madrid,Leganes,2,2
2019-2020,Real Madrid,Villarreal,2,1
2019-2020,Real Madrid,Granada,2,1
2019-2020,Real Madrid,Alaves,2,0
2019-2020,Real Madrid,Athletic Bilbao,1,0
2019-2020,Real Madrid,Getafe,1,0
2019-2020,Real Madrid,Espanyol,1,0
2019-2020,Real Madrid,Real Mallorca,2,0
2019-2020,Real Madrid,Real Sociedad,2,1
2019-2020,Real Madrid,Valencia,3,0
2019-2020,Real Madrid,Eibar,3,1
2019-2020,Real Madrid,Real Betis,1,2
2019-2020,Real Madrid,Barcelona,2,0
2019-2020,Real Madrid,Manchester City,1,2
2019-2020,Real Madrid,Levante,0,1
2019-2020,Real Madrid,Celta Vigo,2,2
2019-2020,Real Madrid,Osasuna,4,1
2019-2020,Real Madrid,Real Sociedad,3,4
2019-2020,Real Madrid,Atletico Madrid,1,0
2019-2020,Real Madrid,Real Zaragoza,4,0
2019-2020,Real Madrid,Real Valladolid,1,0
2019-2020,Real Madrid,Unionistas,3,1
2019-2020,Real Madrid,Sevilla,2,1
2019-2020,Real Madrid,Valencia,3,1
2019-2020,Real Madrid,Getafe,3,0
2019-2020,Real Madrid,Athletic Bilbao,0,0
2019-2020,Real Madrid,Barcelona,0,0
2019-2020,Real Madrid,Valencia,1,1
2019-2020,Real Madrid,Club Brugge,3,1
2019-2020,Real Madrid,Espanyol,2,0
2019-2020,Real Madrid,Alaves,2,1
2019-2020,Real Madrid,Paris Saint-Germain,2,2
2019-2020,Real Madrid,Real Sociedad,3,1
2019-2020,Real Madrid,Eibar,4,0
2019-2020,Real Madrid,Galatasaray,6,0
2019-2020,Real Madrid,Real Betis,0,0
2019-2020,Real Madrid,Leganes,5,0
2019-2020,Real Madrid,Galatasaray,1,0
2019-2020,Real Madrid,Real Mallorca,0,1
2019-2020,Real Madrid,Granada,4,2
2019-2020,Real Madrid,Club Brugge,2,2
2019-2020,Real Madrid,Atletico Madrid,0,0
2019-2020,Real Madrid,Osasuna,2,0
2019-2020,Real Madrid,Sevilla,1,0
2019-2020,Real Madrid,Paris Saint-Germain,0,3
2019-2020,Real Madrid,Levante,3,2
2019-2020,Real Madrid,Villarreal,2,2
2019-2020,Real Madrid,Real Valladolid,1,1
2019-2020,Real Madrid,Celta Vigo,3,1
2019-2020,Real Madrid,Roma,2,2
2019-2020,Real Madrid,Red Bull Salzburg,1,0
2018-2019,Real Madrid,Real Betis,0,2
2018-2019,Real Madrid,Real Sociedad,1,3
2018-2019,Real Madrid,Villarreal,3,2
2018-2019,Real Madrid,Rayo Vallecano,0,1
2018-2019,Real Madrid,Getafe,0,0
2018-2019,Real Madrid,Athletic Bilbao,3,0
2018-2019,Real Madrid,Leganes,1,1
2018-2019,Real Madrid,Eibar,2,1
2018-2019,Real Madrid,Valencia,1,2
2018-2019,Real Madrid,SD Huesca,3,2
2018-2019,Real Madrid,Celta Vigo,2,0
2018-2019,Real Madrid,Real Valladolid,4,1
2018-2019,Real Madrid,Ajax,1,4
2018-2019,Real Madrid,Barcelona,0,1
2018-2019,Real Madrid,Barcelona,0,3
2018-2019,Real Madrid,Levante,2,1
2018-2019,Real Madrid,Girona,1,2
2018-2019,Real Madrid,Ajax,2,1
2018-2019,Real Madrid,Atletico Madrid,3,1
2018-2019,Real Madrid,Barcelona,1,1
2018-2019,Real Madrid,Alaves,3,0
2018-2019,Real Madrid,Girona,3,1
2018-2019,Real Madrid,Espanyol,4,2
2018-2019,Real Madrid,Girona,4,2
2018-2019,Real Madrid,Sevilla,2,0
2018-2019,Real Madrid,Leganes,0,1
2018-2019,Real Madrid,Real Betis,2,1
2018-2019,Real Madrid,Leganes,3,0
2018-2019,Real Madrid,Real Sociedad,0,2
2018-2019,Real Madrid,Villarreal,2,2
2018-2019,Real Madrid,Al Ain,4,1
2018-2019,Real Madrid,Kashima Antlers,3,1
2018-2019,Real Madrid,Rayo Vallecano,1,0
2018-2019,Real Madrid,CSKA Moscow,0,3
2018-2019,Real Madrid,SD Huesca,1,0
2018-2019,Real Madrid,Melilla,6,1
2018-2019,Real Madrid,Valencia,2,0
2018-2019,Real Madrid,Roma,2,0
2018-2019,Real Madrid,Eibar,0,3
2018-2019,Real Madrid,Celta Vigo,4,2
2018-2019,Real Madrid,FC Viktoria Plzen,5,0
2018-2019,Real Madrid,Real Valladolid,2,0
2018-2019,Real Madrid,Melilla,4,0
2018-2019,Real Madrid,Barcelona,1,5
2018-2019,Real Madrid,FC Viktoria Plzen,2,1
2018-2019,Real Madrid,Levante,1,2
2018-2019,Real Madrid,Alaves,0,1
2018-2019,Real Madrid,CSKA Moscow,0,1
2018-2019,Real Madrid,Atletico Madrid,0,0
2018-2019,Real Madrid,Sevilla,0,3
2018-2019,Real Madrid,Espanyol,1,0
2018-2019,Real Madrid,Roma,3,0
2018-2019,Real Madrid,Athletic Bilbao,1,1
2018-2019,Real Madrid,Leganes,4,1
2018-2019,Real Madrid,Girona,4,1
2018-2019,Real Madrid,Getafe,2,0
2018-2019,Real Madrid,Atletico Madrid,2,4
2018-2019,Real Madrid,AC Milan,3,1
2017-2018,Real Madrid,Liverpool,3,1
2017-2018,Real Madrid,Villarreal,2,2
2017-2018,Real Madrid,Celta Vigo,6,0
2017-2018,Real Madrid,Sevilla,2,3
2017-2018,Real Madrid,Barcelona,2,2
2017-2018,Real Madrid,Bayern Munich,2,2
2017-2018,Real Madrid,Leganes,2,1
2017-2018,Real Madrid,Bayern Munich,2,1
2017-2018,Real Madrid,Athletic Bilbao,1,1
2017-2018,Real Madrid,Malaga,2,1
2017-2018,Real Madrid,Juventus,1,3
2017-2018,Real Madrid,Atletico Madrid,1,1
2017-2018,Real Madrid,Juventus,3,0
2017-2018,Real Madrid,Las Palmas,3,0
2017-2018,Real Madrid,Girona,6,3
2017-2018,Real Madrid,Eibar,2,1
2017-2018,Real Madrid,Paris Saint-Germain,2,1
2017-2018,Real Madrid,Getafe,3,1
2017-2018,Real Madrid,Espanyol,0,1
2017-2018,Real Madrid,Alaves,4,0
2017-2018,Real Madrid,Leganes,3,1
2017-2018,Real Madrid,Real Betis,5,3
2017-2018,Real Madrid,Paris Saint-Germain,3,1
2017-2018,Real Madrid,Real Sociedad,5,2
2017-2018,Real Madrid,Levante,2,2
2017-2018,Real Madrid,Valencia,4,1
2017-2018,Real Madrid,Leganes,1,2
2017-2018,Real Madrid,Deportivo La Coruna,7,1
2017-2018,Real Madrid,Leganes,1,0
2017-2018,Real Madrid,Villarreal,0,1
2017-2018,Real Madrid,Numancia,2,2
2017-2018,Real Madrid,Celta Vigo,2,2
2017-2018,Real Madrid,Numancia,3,0
2017-2018,Real Madrid,Barcelona,0,3
2017-2018,Real Madrid,Grêmio,1,0
2017-2018,Real Madrid,Al Jazira,2,1
2017-2018,Real Madrid,Sevilla,5,0
2017-2018,Real Madrid,Borussia Dortmund,3,2
2017-2018,Real Madrid,Athletic Bilbao,0,0
2017-2018,Real Madrid,Fuenlabrada,2,2
2017-2018,Real Madrid,Malaga,3,2
2017-2018,Real Madrid,Apoel Nicosia,6,0
2017-2018,Real Madrid,Atletico Madrid,0,0
2017-2018,Real Madrid,Las Palmas,3,0
2017-2018,Real Madrid,Tottenham Hotspur,1,3
2017-2018,Real Madrid,Girona,1,2
2017-2018,Real Madrid,Fuenlabrada,2,0
2017-2018,Real Madrid,Eibar,3,0
2017-2018,Real Madrid,Tottenham Hotspur,1,1
2017-2018,Real Madrid,Getafe,2,1
2017-2018,Real Madrid,Espanyol,2,0
2017-2018,Real Madrid,Borussia Dortmund,3,1
2017-2018,Real Madrid,Alaves,2,1
2017-2018,Real Madrid,Real Betis,0,1
2017-2018,Real Madrid,Real Sociedad,3,1
2017-2018,Real Madrid,Apoel Nicosia,3,0
2017-2018,Real Madrid,Levante,1,1
2017-2018,Real Madrid,Valencia,2,2
2017-2018,Real Madrid,Fiorentina,2,1
2017-2018,Real Madrid,Deportivo La Coruna,3,0
2017-2018,Real Madrid,Barcelona,2,0
2017-2018,Real Madrid,Barcelona,3,1
2017-2018,Real Madrid,Manchester United,2,1
2016-2017,Real Madrid,Juventus,4,1
2016-2017,Real Madrid,Malaga,2,0
2016-2017,Real Madrid,Celta Vigo,4,1
2016-2017,Real Madrid,Sevilla,4,1
2016-2017,Real Madrid,Atletico Madrid,1,2
2016-2017,Real Madrid,Granada,4,0
2016-2017,Real Madrid,Atletico Madrid,3,0
2016-2017,Real Madrid,Valencia,2,1
2016-2017,Real Madrid,Deportivo La Coruna,6,2
2016-2017,Real Madrid,Barcelona,2,3
2016-2017,Real Madrid,Bayern Munich,4,2
2016-2017,Real Madrid,Sporting Gijon,3,2
2016-2017,Real Madrid,Bayern Munich,2,1
2016-2017,Real Madrid,Atletico Madrid,1,1
2016-2017,Real Madrid,Leganes,4,2
2016-2017,Real Madrid,Alaves,3,0
2016-2017,Real Madrid,Athletic Bilbao,2,1
2016-2017,Real Madrid,Real Betis,2,1
2016-2017,Real Madrid,Napoli,3,1
2016-2017,Real Madrid,Eibar,4,1
2016-2017,Real Madrid,Las Palmas,3,3
2016-2017,Real Madrid,Villarreal,3,2
2016-2017,Real Madrid,Valencia,1,2
2016-2017,Real Madrid,Espanyol,2,0
2016-2017,Real Madrid,Napoli,3,1
2016-2017,Real Madrid,Osasuna,3,1
2016-2017,Real Madrid,Real Sociedad,3,0
2016-2017,Real Madrid,Celta Vigo,2,2
2016-2017,Real Madrid,Malaga,2,1
2016-2017,Real Madrid,Celta Vigo,1,2
2016-2017,Real Madrid,Sevilla,1,2
2016-2017,Real Madrid,Sevilla,3,3
2016-2017,Real Madrid,Granada,5,0
2016-2017,Real Madrid,Sevilla,3,0
2016-2017,Real Madrid,Deportivo La Coruna,3,2
2016-2017,Real Madrid,Borussia Dortmund,2,2
2016-2017,Real Madrid,Barcelona,1,1
2016-2017,Real Madrid,Cultural Leonesa,6,1
2016-2017,Real Madrid,Sporting Gijon,2,1
2016-2017,Real Madrid,Sporting Lisbon,2,1
2016-2017,Real Madrid,Atletico Madrid,3,0
2016-2017,Real Madrid,Leganes,3,0
2016-2017,Real Madrid,Legia Warsaw,3,3
2016-2017,Real Madrid,Alaves,4,1
2016-2017,Real Madrid,Cultural Leonesa,7,1
2016-2017,Real Madrid,Athletic Bilbao,2,1
2016-2017,Real Madrid,Legia Warsaw,5,1
2016-2017,Real Madrid,Real Betis,6,1
2016-2017,Real Madrid,Eibar,1,1
2016-2017,Real Madrid,Borussia Dortmund,2,2
2016-2017,Real Madrid,Las Palmas,2,2
2016-2017,Real Madrid,Villarreal,1,1
2016-2017,Real Madrid,Espanyol,2,0
2016-2017,Real Madrid,Sporting Lisbon,2,1
2016-2017,Real Madrid,Osasuna,5,2
2016-2017,Real Madrid,Celta Vigo,2,1
2016-2017,Real Madrid,Real Sociedad,3,0
2016-2017,Real Madrid,Reims,5,3
2016-2017,Real Madrid,Sevilla,3,2
2015-2016,Real Madrid,Atletico Madrid,1,1
2015-2016,Real Madrid,Deportivo La Coruna,2,0
2015-2016,Real Madrid,Valencia,3,2
2015-2016,Real Madrid,Manchester City,1,0
2015-2016,Real Madrid,Real Sociedad,1,0
2015-2016,Real Madrid,Manchester City,0,0
2015-2016,Real Madrid,Rayo Vallecano,3,2
2015-2016,Real Madrid,Villarreal,3,0
2015-2016,Real Madrid,Getafe,5,1
2015-2016,Real Madrid,Wolfsburg,3,0
2015-2016,Real Madrid,Eibar,4,0
2015-2016,Real Madrid,Wolfsburg,0,2
2015-2016,Real Madrid,Barcelona,2,1
2015-2016,Real Madrid,Sevilla,4,0
2015-2016,Real Madrid,Las Palmas,2,1
2015-2016,Real Madrid,Roma,2,0
2015-2016,Real Madrid,Celta Vigo,7,1
2015-2016,Real Madrid,Levante,3,1
2015-2016,Real Madrid,Atletico Madrid,0,1
2015-2016,Real Madrid,Malaga,1,1
2015-2016,Real Madrid,Roma,2,0
2015-2016,Real Madrid,Athletic Bilbao,4,2
2015-2016,Real Madrid,Granada,2,1
2015-2016,Real Madrid,Espanyol,6,0
2015-2016,Real Madrid,Real Betis,1,1
2015-2016,Real Madrid,Sporting Gijon,5,1
2015-2016,Real Madrid,Deportivo La Coruna,5,0
2015-2016,Real Madrid,Valencia,2,2
2015-2016,Real Madrid,Real Sociedad,3,1
2015-2016,Real Madrid,Rayo Vallecano,10,2
2015-2016,Real Madrid,Villarreal,0,1
2015-2016,Real Madrid,Malmo FF,8,0
2015-2016,Real Madrid,Getafe,4,1
2015-2016,Real Madrid,Cadiz,3,1
2015-2016,Real Madrid,Eibar,2,0
2015-2016,Real Madrid,Shakhtar Donetsk,4,3
2015-2016,Real Madrid,Barcelona,0,4
2015-2016,Real Madrid,Sevilla,2,3
2015-2016,Real Madrid,Paris Saint-Germain,1,0
2015-2016,Real Madrid,Las Palmas,3,1
2015-2016,Real Madrid,Celta Vigo,3,1
2015-2016,Real Madrid,Paris Saint-Germain,0,0
2015-2016,Real Madrid,Levante,3,0
2015-2016,Real Madrid,Atletico Madrid,1,1
2015-2016,Real Madrid,Malmo FF,2,0
2015-2016,Real Madrid,Malaga,0,0
2015-2016,Real Madrid,Athletic Bilbao,2,1
2015-2016,Real Madrid,Granada,1,0
2015-2016,Real Madrid,Shakhtar Donetsk,4,0
2015-2016,Real Madrid,Espanyol,6,0
2015-2016,Real Madrid,Real Betis,5,0
2015-2016,Real Madrid,Sporting Gijon,0,0
2015-2016,Real Madrid,Galatasaray,2,1
2015-2016,Real Madrid,Valerenga,0,0
2014-2015,Real Madrid,Getafe,7,3
2014-2015,Real Madrid,Espanyol,4,1
2014-2015,Real Madrid,Juventus,1,1
2014-2015,Real Madrid,Valencia,2,2
2014-2015,Real Madrid,Juventus,1,2
2014-2015,Real Madrid,Sevilla,3,2
